SEQNO,StationID,StationName,StationPosition,StationAddress,BikeAllowOnHoliday,UpdateTime
24,'BL23',"'{南港展覽館,Taipei Nangang Exhibition Center}'","'{121.616861,25.054919}'",'板南線：11568臺北市南港區研究院路1段1號',1,20170525
25,'R02',"'{象山,Xiangshan}'","'{121.570116,25.032395}'",'11080臺北市信義區信義路5段152號B1',1,20170525
26,'R03',"'{台北101/世貿,Taipei 101/World Trade Center}'","'{121.563667,25.032865}'",'11049臺北市信義區信義路5段20號B1',1,20170525
27,'R04',"'{信義安和,Xinyi Anhe}'","'{121.552326,25.033015}'",'10681臺北市大安區信義路4段212之1號B1',1,20170525
28,'R06',"'{大安森林公園,Daan Park}'","'{121.536151,25.033225}'",'10656臺北市大安區信義路3段100號B1 ',1,20170525
29,'R07',"'{東門,Dongmen}'","'{121.528766,25.033894}'",'10650臺北市大安區信義路2段166號B1',1,20170525
30,"'R08,G10'","'{中正紀念堂,Chiang Kai-Shek Memorial Hall}'","'{121.518273,25.032767}'",'10074臺北市中正區羅斯福路1段8之1號B1  ',1,20170525
31,'R09',"'{台大醫院,NTU Hospital}'","'{121.51602,25.041399}'",'10048臺北市中正區公園路52號B1',1,20170525
32,"'R10,BL12'","'{台北車站,Taipei Main Station}'","'{121.517415,25.04631}'",'10041臺北市中正區忠孝西路1段49號',0,20170525
33,"'R11,G14'","'{中山,Zhongshan}'","'{121.520364,25.052621}'","'淡水信義線：10444臺北市中山區南京西路16號
松山新店線：10352臺北市大同區南京西路55號'",1,20170525
34,'R12',"'{雙連,Shuanglian}'","'{121.520685,25.057575}'",'10354臺北市大同區民生西路47號',1,20170525
35,"'R13,O11'","'{民權西路,Minzuan W. Rd.}'","'{121.519585,25.06235}'",'10365臺北市大同區民權西路72號',1,20170525
36,'R14',"'{圓山,Yuanshan}'","'{121.520074,25.0714085}'",'10367臺北市大同區酒泉街9之1號',1,20170525
37,'R15',"'{劍潭,Jiantan}'","'{121.5249545,25.0842015}'",'11163臺北市士林區中山北路5段65號',1,20170525
38,'R16',"'{士林,Shilin}'","'{121.52623,25.0934925}'",'11163臺北市士林區福德路1號',1,20170525
39,'R17',"'{芝山,Zhishan}'","'{121.522546,25.102718}'",'11158臺北市士林區福國路70號',1,20170525
40,'R18',"'{明德,Mingde}'","'{121.518785,25.109815}'",'11280臺北市北投區明德路95號',1,20170525
41,'R19',"'{石牌,Shipai}'","'{121.515572,25.114455}'",'11271臺北市北投區石牌路1段200號',1,20170525
42,'R20',"'{唭哩岸,Qilian}'","'{121.506234,25.1208515}'",'11265臺北市北投區東華街2段301號',1,20170525
43,'R21',"'{奇岩,Qiyan}'","'{121.50114,25.1254705}'",'11270臺北市北投區三合街2段489號',1,20170525
44,'R22',"'{北投,Beitou}'","'{121.4986475,25.1318185}'",'11246臺北市北投區光明路1號',1,20170525
45,'R22A',"'{新北投,Xinbeitou}'","'{121.5025955,25.1369315}'",'11268臺北市北投區大業路700號',1,20170525
46,'R23',"'{復興崗,Fuxinggang}'","'{121.485456,25.137497}'",'11257臺北市北投區中央北路3段53巷10號',1,20170525
47,'R24',"'{忠義,Zhongyi}'","'{121.4732975,25.1309225}'",'11257臺北市北投區中央北路4段301號',1,20170525
48,'R25',"'{關渡,Guandu}'","'{121.467,25.12551}'",'11259臺北市北投區大度路3段296巷51號',1,20170525
49,'R26',"'{竹圍,Zhuwei}'","'{121.45955,25.1369}'",'25173新北市淡水區民權路50號',1,20170525
50,'R27',"'{紅樹林,Hongshulin}'","'{121.4588,25.15399}'",'25173新北市淡水區中正東路2段68號',1,20170525
51,'R28',"'{淡水,Tamsui}'","'{121.445805,25.167745}'",'25158新北市淡水區中正路1號',0,20170525
52,'G01',"'{新店,Xindian}'","'{121.53746,24.95761}'",'23152新北市新店區北宜路1段2號',1,20170525
53,'G02',"'{新店區公所,Xindian District Office}'","'{121.5413,24.96744}'",'23147新北市新店區北新路1段295號',1,20170525
54,'G03',"'{七張,Qizhang}'","'{121.542985,24.97545}'",'23143新北市新店區北新路2段150號',1,20170525
55,'G01A',"'{小碧潭,Xiaobitan}'","'{121.53058,24.97188}'",'23150新北市新店區中央路151號4樓',1,20170525
56,'G04',"'{大坪林,Dapinglin}'","'{121.54134,24.9827205}'",'23143新北市新店區北新路3段190號',1,20170525
57,'G05',"'{景美,Jingmei}'","'{121.5406975,24.992824}'",'11674臺北市文山區羅斯福路6段393號',1,20170525
58,'G06',"'{萬隆,Wanlong}'","'{121.539008,25.001978}'",'11678臺北市文山區羅斯福路5段214號',1,20170525
59,'G07',"'{公館,Gongguan}'","'{121.534358,25.014781}'",'10091臺北市中正區羅斯福路4段74號B1',1,20170525
60,'G08',"'{台電大樓,Taipower Building}'","'{121.5281435,25.020733}'",'10089臺北市中正區羅斯福路3段126之5號B1',1,20170525
61,"'G09,O05'","'{古亭,Guting}'","'{121.522868,25.026373}'",'10084臺北市中正區羅斯福路2段164之1號B1 ',1,20170525
62,'G11',"'{小南門,Xiaonanmen}'","'{121.51088,25.035585}'",'10066臺北市中正區愛國西路22號B1',1,20170525
63,'G13',"'{北門,Beimen}'","'{121.510184,25.049554}'",'10341臺北市大同區塔城街10號',1,20170525
64,"'G15,O08'","'{松江南京,Songliang Nanjing}'","'{121.53285,25.052693}'",'10457臺北市中山區松江路126號B1',1,20170525
65,"'G16,BR11'","'{南京復興,Nanjing Fuxing}'","'{121.544303,25.052044}'",'10550臺北市松山區南京東路3段253號',1,20170525
66,'G17',"'{台北小巨蛋,Taipei Arena}'","'{121.552549,25.05152}'",'10553臺北市松山區南京東路4段10-1號',1,20170525
67,'G18',"'{南京三民,Nanjing Sanmin}'","'{121.56471,25.051588}'",'10569臺北市松山區南京東路5段237號',1,20170525
68,'G19',"'{松山,Songshan}'","'{121.577706,25.050118}'",'10567臺北市松山區八德路4段742號',1,20170525
69,'O01',"'{南勢角,Nanshijiao}'","'{121.509237,24.990065}'",'23566新北市中和區捷運路6號  ',1,20170525
70,'O02',"'{景安,Jingan}'","'{121.505114,24.99392}'",'23582新北市中和區景平路486號',1,20170525
71,'O03',"'{永安市場,Yongan Market}'","'{121.511225,25.002895}'",'23574新北市中和區中和路388號',1,20170525
72,'O04',"'{頂溪,Dingxi}'","'{121.515462,25.013858}'",'23445新北市永和區永和路2段168號B1  ',1,20170525
73,'O09',"'{行天宮,Xingtian Temple}'","'{121.53315,25.05924}'",'10468臺北市中山區松江路316號B1',1,20170525
74,'O10',"'{中山國小,Zhongshan Elementary School}'","'{121.526609,25.062665}'",'10452臺北市中山區民權東路1段71號B1',1,20170525
75,'O12',"'{大橋頭,Daqiaotou}'","'{121.5130035,25.06322}'",'10357臺北市大同區民權西路223號B1',1,20170525
76,'O13',"'{台北橋,Taipei Bridge}'","'{121.500575,25.063075}'",'24142新北市三重區重新路1段108號B1',1,20170525
77,'O14',"'{菜寮,Cailiao}'","'{121.491421,25.059451}'",'24143新北市三重區重新路3段150號B1 ',1,20170525
78,'O15',"'{三重,Sanchong}'","'{121.48422,25.05571}'",'24161新北市三重區捷運路36號B1 ',1,20170525
79,'O16',"'{先嗇宮,Xianse Temple}'","'{121.47165,25.04632}'",'24158新北市三重區重新路5段515號B1',1,20170525
80,'O17',"'{頭前庄,Touqianzhuang}'","'{121.461655,25.039735}'",'24251新北市新莊區思源路18號B1',1,20170525
81,'O18',"'{新莊,Xinzhuang}'","'{121.45218,25.03608}'",'24243新北市新莊區中正路138號B1',1,20170525
82,'O19',"'{輔大,Fu Jen University}'","'{121.435735,25.03279}'",'24205新北市新莊區中正路510之1號B1',1,20170525
83,'O20',"'{丹鳳,Danfeng}'","'{121.422422,25.029073}'",'24256新北市新莊區中正路624之1號B1',1,20170525
84,'O21',"'{迴龍,Huilong}'","'{121.411757,25.022107}'",'24257新北市新莊區中正路758號B1',1,20170525
85,'O50',"'{三重國小,Sanchong Elementary School}'","'{121.49701,25.070275}'",'24149新北市三重區三和路3段5號B1',1,20170525
86,'O51',"'{三和國中,Sanhe Junior High School}'","'{121.486795,25.07646}'",'24152新北市三重區三和路4段107號B1',1,20170525
87,'O52',"'{徐匯中學,St.lgnatius High School}'","'{121.479945,25.080485}'",'24753新北市蘆洲區中山一路3號B1',1,20170525
88,'O53',"'{三民高中,Sanmin Senior High School}'","'{121.473365,25.085425}'",'24760新北市蘆洲區三民路105號B1',1,20170525
89,'O54',"'{蘆洲,Luzhou}'","'{121.46471,25.09152}'",'24760新北市蘆洲區三民路386號B1',1,20170525
90,'BL01',"'{頂埔,Dingpu}'","'{121.4205,24.96012}'",'23671新北市土城區中央路4段51-6號B3',1,20170525
91,'BL02',"'{永寧,Yongning}'","'{121.43613,24.96682}'",'23671新北市土城區中央路3段105號B1',1,20170525
92,'BL03',"'{土城,Tucheng}'","'{121.44432,24.97313}'",'23671新北市土城區金城路1段105號B1',1,20170525
93,'BL04',"'{海山,Haishan}'","'{121.44873,24.985305}'",'23660新北市土城區海山路39號B2',1,20170525
94,'BL05',"'{亞東醫院,Far Eastern Hospital}'","'{121.452465,24.99828}'",'22060新北市板橋區南雅南路2段17號B1',1,20170525
95,'BL06',"'{府中,Fuzhong}'","'{121.459276,25.008465}'",'22055新北市板橋區縣民大道1段193號B1',1,20170525
96,'BL07',"'{板橋,Banqiao}'","'{121.462305,25.013825}'",'22041新北市板橋區站前路5號B1',1,20170525
97,'BL08',"'{新埔,Xinpu}'","'{121.468055,25.02327}'",'22047新北市板橋區民生路3段2號B1',1,20170525
98,'BL09',"'{江子翠,Jiangzicui}'","'{121.47257,25.030265}'",'22044新北市板橋區文化路2段296號B1',1,20170525
99,'BL10',"'{龍山寺,Longshan Temple}'","'{121.500325,25.03528}'",'10855臺北市萬華區西園路1段153號',1,20170525
100,"'BL11,G12'","'{西門,Ximen}'","'{121.508175,25.042025}'",'10042臺北市中正區寶慶路32之1號B1  ',1,20170525
101,'BL13',"'{善導寺,Shandao Temple}'","'{121.523885,25.04468}'",'10049臺北市中正區忠孝東路1段58號B1',1,20170525
102,"'BL14,O07'","'{忠孝新生,Zhongxiao Xinsheng}'","'{121.53321,25.042498}'",'10652臺北市大安區新生南路1段67號',1,20170525
103,'BL16',"'{忠孝敦化,Xhongxiao Dunhua}'","'{121.55045,25.041505}'",'10686臺北市大安區忠孝東路4段182號',1,20170525
104,'BL17',"'{國父紀念館,Sun Yat-Sen Memorial Hall}'","'{121.557815,25.04137}'",'11072臺北市信義區忠孝東路4段400號',1,20170525
105,'BL18',"'{市政府,Taipei City Hall}'","'{121.565685,25.041135}'",'11071臺北市信義區忠孝東路5段2號',1,20170525
106,'BL19',"'{永春,Yongchun}'","'{121.5762,25.040855}'",'11061臺北市信義區忠孝東路5段455號',1,20170525
107,'BL20',"'{後山埤,Houshanpi}'","'{121.58227,25.044715}'",'11575臺北市南港區忠孝東路6段2號',1,20170525
108,'BL21',"'{昆陽,Kunyang}'","'{121.5932285,25.0504585}'",'11558臺北市南港區忠孝東路6段451號',1,20170525
109,'BL22',"'{南港,Nangang}'","'{121.60697,25.052035}'",'11561臺北市南港區忠孝東路7段380號',1,20170525
