SEQNO,StationID,StationName,StationAddress,BikeAllowOnHoliday,UpdateTime,lat,lon
1,'BR01',動物園,'11656臺北市文山區新光路2段32號',0,20170525,121.579501,24.998205
2,'BR02',木柵,'11656臺北市文山區木柵路4段135號',0,20170525,121.573127,24.99824
3,'BR03',萬芳社區,'11653臺北市文山區萬芳路60號',0,20170525,121.568088,24.99857
4,'BR04',萬芳醫院,'11696臺北市文山區興隆路3段113號',0,20170525,121.558092,24.99932
5,'BR05',辛亥,'11694臺北市文山區辛亥路4段128號',0,20170525,121.5570455,25.005455
6,'BR06',麟光,'10676臺北市大安區和平東路3段410號',0,20170525,121.5588335,25.018495
7,'BR07',六張犁,'10674臺北市大安區和平東路3段168號',0,20170525,121.55302,25.02381
8,'BR08',科技大樓,'10667臺北市大安區復興南路2段235號',0,20170525,121.5434615,25.02612
9,"'BR09,R05'",大安,"'文湖線：10683臺北市大安區信義路4段2號
淡水信義線：10658臺北市大安區信義路3段180號'",0,20170525,121.54237,25.033311
10,"'BR10,BL15'",忠孝復興,"'文湖線：10654臺北市大安區忠孝東路3段302號
板南線：10691臺北市大安區忠孝東路4段47號'",0,20170525,121.545026,25.041749
11,'BR12',中山國中,'10476臺北市中山區復興北路376號',0,20170525,121.544215,25.06085
12,'BR13',松山機場,'10576臺北市松山區敦化北路338號',0,20170525,121.55201,25.0629075
13,'BR14',大直,'10465臺北市中山區北安路534之1號',0,20170525,121.54679,25.07943
14,'BR15',劍南路,'10464臺北市中山區北安路798號',0,20170525,121.5555825,25.08483
15,'BR16',西湖,'11493臺北市內湖區內湖路1段256號',0,20170525,121.567227,25.08216
16,'BR17',港墘,'11446臺北市內湖區內湖路1段663號',0,20170525,121.57516,25.08007
17,'BR18',文德,'11475臺北市內湖區文德路214號',0,20170525,121.5849995,25.078455
18,'BR19',內湖,'11489臺北市內湖區成功路4段186號',0,20170525,121.594363,25.083675
19,'BR20',大湖公園,'11477臺北市內湖區成功路5段11號',0,20170525,121.602214,25.083805
20,'BR21',葫洲,'11486臺北市內湖區康寧路3段16號',0,20170525,121.6071455,25.07271
21,'BR22',東湖,'11486臺北市內湖區康寧路3段235號',0,20170525,121.611535,25.067455
22,'BR23',南港軟體園區,'11568臺北市南港區經貿二路183號',0,20170525,121.615,25.05992
23,'BR24',南港展覽館,'文湖線：11568臺北市南港區南港路1段32號',0,20170525,121.616861,25.054919
24,'BL23',南港展覽館,'板南線：11568臺北市南港區研究院路1段1號',1,20170525,121.616861,25.054919
25,'R02',象山,'11080臺北市信義區信義路5段152號B1',1,20170525,121.570116,25.032395
26,'R03',台北世貿,'11049臺北市信義區信義路5段20號B1',1,20170525,121.563667,25.032865
27,'R04',信義安和,'10681臺北市大安區信義路4段212之1號B1',1,20170525,121.552326,25.033015
28,'R06',大安森林公園,'10656臺北市大安區信義路3段100號B1 ',1,20170525,121.536151,25.033225
29,'R07',東門,'10650臺北市大安區信義路2段166號B1',1,20170525,121.528766,25.033894
30,"'R08,G10'",中正紀念堂,'10074臺北市中正區羅斯福路1段8之1號B1  ',1,20170525,121.518273,25.032767
31,'R09',台大醫院,'10048臺北市中正區公園路52號B1',1,20170525,121.51602,25.041399
