發生時間,處理別,肇事地點,座標-X,座標-Y
2020/1/3 18:35,2,大安區和平東路2段與和平東路2段96巷口,121.5417196,25.02502982
2020/1/3 18:38,2,北投區崇仁路1段155巷與磺港路口,121.5028774,25.12383441
2020/1/3 19:01,2,中正區漢口街1段82號,121.5120662,25.04516092
2020/1/3 19:12,2,大同區承德路3段與承德路3段129巷口,121.5185003,25.06727555
2020/1/3 19:21,2,士林區中正路592號,121.5099535,25.08706723
2020/1/3 19:22,2,中正區南海路與泉州街口,121.5136135,25.03170497
2020/1/3 19:28,2,松山區民生東路3段122號,121.5458491,25.05767338
2020/1/3 19:30,2,萬華區中華路2段666之8,121.5118826,25.02392394
2020/1/3 19:30,2,北投區石牌路1段166巷69弄14號與石牌路1段口,121.5151914,25.11312966
2020/1/3 19:40,2,南港區園區街與園區街58巷口,121.6116923,25.05907052
2020/1/3 19:43,2,信義區基隆路汽機車混合地下道往北1162號燈,121.5639802,25.03999031
2020/1/3 19:44,2,大同區延平北路3段與民權西路口,121.5111823,25.06307989
2020/1/3 20:50,2,信義區信義路5段與基隆路2段口,121.5595453,25.03268592
2020/1/3 20:54,2,北投區立農街2段與立農街2段278巷口,121.51572,25.11867294
2020/1/3 21:00,2,士林區復興橋往仰德大道方向,121.5371995,25.10029194
2020/1/3 21:17,2,松山區八德路4段與基隆路1段口,121.5696189,25.04953164
2020/1/3 21:31,2,內湖區環山路2段15號,121.5713641,25.08626157
2020/1/3 21:40,2,文山區新光路2段木柵動物園,121.5826525,24.99999573
2020/1/3 21:47,2,大同區重慶北路1段與天水路口,121.513654,25.05401857
2020/1/3 22:04,2,萬華區中華路1段與長沙街2段口,121.5076072,25.04048546
2020/1/3 22:58,2,南港區市民大道8段與興華路口,121.6064287,25.0532714
2020/1/3 23:16,2,松山區光復北路與富錦街口,121.5548725,25.06030943
2020/1/4 00:07,2,萬華區成都路49號,121.5064681,25.04263782
2020/1/4 00:41,2,北投區承德路6段與福國路口,121.5123776,25.10176706
2020/1/4 01:00,2,大同區延平北路4段與敦煌路口,121.5120181,25.07638262
2020/1/4 04:30,2,中山區長安東路1段與新生北路1段口,121.5295042,25.0482061
2020/1/4 07:28,2,信義區基隆路2段與信義路4段口,121.5596372,25.0329619
2020/1/4 07:44,2,南港區市民大道6段與中坡北路口,121.5800613,25.0488673
2020/1/4 07:50,2,內湖區民權隧道往東出口,121.6035059,25.06967069
2020/1/4 08:00,2,中正區中山北路1段與市民大道2段口,121.5208142,25.04793198
2020/1/4 08:00,2,內湖區民權東路6段190巷與民權東路6段190巷65弄口,121.5943224,25.06573635
2020/1/4 08:57,2,北投區學園路1號,121.4694295,25.13340744
2020/1/4 09:00,2,大安區基隆路3段與敦化南路2段口,121.5484395,25.02085559
2020/1/4 09:00,2,文山區景隆街與景隆街1巷口,121.5398828,25.00046201
2020/1/4 09:00,2,內湖區文德路208巷與文德路208巷58弄口,121.5835749,25.07639456
2020/1/4 09:00,2,大安區麗水街與永康街2巷口,121.5290622,25.03271407
2020/1/4 09:10,2,士林區延平北路7段106巷與延平北路7段106巷146弄口,121.49626,25.10018292
2020/1/4 09:30,2,大同區延平北路2段與南京西路口,121.5117594,25.0538882
2020/1/4 10:12,2,文山區興隆路3段192巷8弄50號,121.5570576,24.99800481
2020/1/4 10:17,2,中山區民生東路1段與林森北路口,121.5256745,25.05806689
2020/1/4 10:40,2,大同區承德路3段與敦煌路口,121.5200127,25.07527511
2020/1/4 10:40,2,大同區鄭州路與西寧北路口,121.5082021,25.0506052
2020/1/4 10:45,2,中正區金山南路1段53巷與金山南路1段口弄口,121.5286397,25.03899125
2020/1/4 11:05,2,內湖區民權東路6段與舊宗路1段口,121.5752623,25.06563314
2020/1/4 11:09,2,大安區基隆路3段068燈桿(南往北),121.5464104,25.01878118
2020/1/4 11:20,2,松山區民生東路3段130巷與興安街口,121.5461846,25.05609194
2020/1/4 11:22,2,大安區羅斯福路4段123巷21弄與羅斯福路4段口,121.5375166,25.00989011
2020/1/4 11:24,2,萬華區中華路2段484巷與中華路2段口,121.5070669,25.02673347
2020/1/4 11:49,2,大安區基隆路2段與和平東路3段口(東南角),121.5523261,25.02402071
2020/1/4 12:11,2,文山區羅斯福路5段170巷與汀州路4段口,121.535747,25.00478224
2020/1/4 12:28,2,中正區桃源街與貴陽街1段口,121.5101745,25.03899953
2020/1/4 12:44,2,內湖區成功路2段與成功路2段323巷口,121.5903174,25.0704567
2020/1/4 12:45,2,萬華區中華路2段307巷與中華路口,121.5053693,25.0283958
2020/1/4 12:45,2,內湖區金湖路419號前,121.604501,25.07343518
2020/1/4 12:48,2,北投區豐年路2段142-1號前,121.4935678,25.1369369
2020/1/4 12:56,2,大安區仁愛路4段345巷15弄17號前,121.5546037,25.03887698
2020/1/4 13:00,2,大安區信義路3段143號,121.5404279,25.0335784
2020/1/4 13:01,2,大安區新生南路3段9號,121.5349248,25.02588622
2020/1/4 13:22,2,士林區天母東路8巷25號,121.5317667,25.11731974
2020/1/4 13:47,2,中山區新生高架道往南民族出口,121.5278272,25.06888584
2020/1/4 13:48,2,北投區大業路與大興街口,121.4971173,25.1296062
2020/1/4 14:02,2,北投區石牌路2段366號,121.5254798,25.12355715
2020/1/4 14:03,2,信義區莊敬路325巷32號,121.5642297,25.028466
2020/1/4 14:07,2,中正區市民大道2段(193號燈桿),121.5212087,25.04788414
2020/1/4 14:15,2,文山區木柵路3段48巷與木柵路3段口,121.5652897,24.98839446
2020/1/4 14:30,2,中正區中山南路與凱達格蘭大道口,121.5173636,25.03873702
2020/1/4 14:36,2,松山區健康路與光復北路口,121.5566213,25.05360994
2020/1/4 14:40,2,中山區民生東路3段73巷與錦州街口,121.5436399,25.06015633
2020/1/4 14:46,2,松山區市民大道4段225號,121.5536841,25.04452522
2020/1/4 14:55,2,中正區中山北路1段與市民大道2段口,121.5208113,25.0479207
2020/1/4 14:56,2,大安區信義路3段111巷與信義路3段口,121.5394306,25.03378745
2020/1/4 15:05,2,中正區羅斯福路2段與潮州街口,121.5205297,25.02975051
2020/1/4 15:05,2,大同區大龍街288號,121.5158821,25.07126258
2020/1/4 15:40,2,士林區仰德大道1段,121.5345403,25.10730608
2020/1/4 15:50,2,松山區光復北路與民權東路4段口,121.5545981,25.0618462
2020/1/4 16:26,2,松山區市民大道6段與松信路口,121.5722369,25.04922746
2020/1/4 16:28,2,北投區泉源路與泉源路23巷口,121.5057657,25.1392036
2020/1/4 16:30,2,文山區指南路2段與萬壽路口,121.5756634,24.98767653
2020/1/4 16:30,2,內湖區堤外便道與五分街口,121.617821,25.06579645
2020/1/4 16:34,2,南港區興中路28巷與興中路口,121.6072459,25.05557904
2020/1/4 16:49,2,中正區襄陽路與館前路口,121.5150048,25.0434071
2020/1/4 17:10,2,大同區南京西路217號,121.5110423,25.0538358
2020/1/4 17:14,2,士林區德行東路與忠誠路1段口,121.5304194,25.10845332
2020/1/4 17:20,2,信義區崇德街與信安街口,121.555934,25.024077
2020/1/4 17:21,2,文山區興隆路2段與景華街口,121.5473206,24.9993685
2020/1/4 17:30,2,中正區凱達格蘭大道與懷寧街口,121.5138727,25.03979808
2020/1/4 17:35,2,文山區羅斯福路5段97巷與萬盛街口,121.5409084,25.00541807
2020/1/4 17:40,2,文山區興隆路2段301巷與興隆路2段301巷口停車場出入口,121.5535981,25.002234
2020/1/4 18:20,2,大安區復興南路2段210巷與復興南路2段口,121.5433458,25.02647948
2020/1/4 18:36,2,內湖區民權東路6段15巷與民權東路6段19巷口,121.5771496,25.06881051
2020/1/4 18:50,2,中山區市民高架道與建國南路1段口上方,121.5364834,25.04479406
2020/1/4 19:35,2,大同區塔城街北門站2號出口,121.5103585,25.0494731
2020/1/4 19:40,2,萬華區中華路1段與南寧路口,121.5067141,25.03710008
2020/1/4 19:58,2,信義區松仁路與莊敬路口,121.5679076,25.02674442
2020/1/4 20:00,2,中山區市民大道2段與林森北路口,121.524273,25.0479279
2020/1/4 20:10,2,大安區信義路3段178號前,121.5427567,25.03325998
2020/1/4 21:00,2,北投區北投路1段與三合街2段口,121.5007313,25.12618918
2020/1/4 21:40,2,中山區松江路76號,121.532882,25.04965407
2020/1/4 21:55,2,萬華區環河南路2段238號,121.4926625,25.03349821
2020/1/4 22:10,2,內湖區民權東路6段與瑞光路口,121.5843593,25.068744
2020/1/4 22:19,2,中山區新生北路2段與錦州街口,121.5274839,25.06024535
2020/1/4 22:20,2,信義區松高路與松勇路口,121.5697992,25.0390258
2020/1/4 22:40,2,信義區松智路與無名巷口(A9)旁,121.5654622,25.0358761
2020/1/4 23:23,2,中正區忠孝西路1段與館前路口,121.5150227,25.04691315
2020/1/4 23:50,2,中正區愛國西路52號前,121.5073596,25.03684713
2020/1/4 23:59,2,南港區研究院路2段與研究院路2段54巷口,121.6151337,25.0463174
2020/1/5 01:06,2,大同區延平北路3段22號,121.5111462,25.0640307
2020/1/5 01:25,2,士林區承德路5段與基河路口,121.5134214,25.0977915
2020/1/5 01:40,2,內湖區江南街與文德路口,121.5788582,25.07868356
2020/1/5 02:03,2,中山區林森北路與中山北路1段53巷口,121.5244168,25.04868313
2020/1/5 03:08,2,萬華區忠孝西路2段與昆明街口,121.5064554,25.04874164
2020/1/5 04:55,2,信義區忠孝東路4段國父紀念館前測速桿,121.5589396,25.04126465
2020/1/5 06:54,2,文山區萬利街2巷與萬樂街口,121.5683705,24.99941945
2020/1/5 07:28,2,內湖區新湖一路與新湖一路339巷口,121.5839513,25.06342752
2020/1/5 07:47,2,中山區中山北路3段與農安街口,121.522454,25.06492632
2020/1/5 08:23,2,北投區關渡河堤自行車步道,121.4626386,25.11766718
2020/1/5 08:34,2,內湖區安康路與安康路434巷口,121.6146556,25.06671336
2020/1/5 08:56,2,大安區復興南路1段與忠孝東路3段口,121.5436734,25.04170021
2020/1/5 09:54,2,大同區環河北路1段與民生西路423巷27弄口,121.5084798,25.05772565
2020/1/5 09:55,2,北投區承德路7段與尊賢街245巷口,121.5050523,25.1165556
2020/1/5 10:07,2,大同區環河北路1段69號,121.5073766,25.05291096
2020/1/5 10:28,2,中正區愛國東路與杭州南路2段口口,121.5225488,25.03229528
2020/1/5 10:30,2,南港區松河街基2號水門,121.5932822,25.05874527
2020/1/5 10:45,2,大安區辛亥路3段310號,121.5523719,25.01455854
2020/1/5 11:27,2,北投區中央北路4段與學園路口,121.465976,25.1266012
